"businessName","email","street","city","state","zip","phone","websiteURL","lat","lon","state.name","agency.name"
"San Jose Police Department, Family Violence Unit","","1671 The Alameda, Suite 100","San Jose","CA","95126","(408) 277-3700","","37.336926","-121.91848","California","Montgomery Police Dept"
"Cypress Police Dept","","5275 Orange Ave","Cypress","CA","90630","(714) 229-6600","","33.824314","-118.04014","California","Moody Police Dept"
"Tustin City Police Department","","300 Centennial Way","Tustin","CA","92780","(714) 573-3200","","33.743313","-117.818825","California","Mountain Brook Police Dept"
"Police Department","","5775 Carpinteria Ave","Carpinteria","CA","93013","(805) 684-4561","","34.390015","-119.50407","California","Muscle Shoals Police Dept"
"Campbell Police Department","","70 N 1st St Lower Level","Campbell","CA","95008","(408) 866-2121","","37.14814","-119.64425","California","Northport Police Dept"
"Modesto Police Department","","600 10th St","Modesto","CA","95354","(209) 572-9500","","37.63663","-120.99573","California","Oxford Police Dept"
"Ozark City Police Department","","201 E Brick St","Ozark","MO","65721","(417) 581-6600","","37.021595","-93.20445","California","Ozark Police Dept"
"West Los Angeles Police Dept","","1663 Butler Ave","Los Angeles","CA","90025","(310) 575-8441","","34.04433","-118.45089","California","Pelham Police Dept"
"Folsom City Police Department","","46 Natoma St","Folsom","CA","95630","(916) 355-7239","","38.68227","-121.1616","California","Phenix Police Dept"
"West Covina Police Dept","","1444 W Garvey Ave S","West Covina","CA","91790","(626) 939-8500","","34.072117","-117.94037","California","Prichard Police Dept"
"Calif Police Chiefs Assn Inc","","2727 Del Oro Ct","Sacramento","CA","95826","(916) 325-7403","","38.56315","-121.36282","California","Scottsboro Police Dept"
"Selma Police Department","","1935 E Front St","Selma","CA","93662","(559) 896-2525","","36.56734","-119.61198","California","Selma Police Dept"
"Chancellors Run Teen Ctr","","21905 Chancellors Run Rd","Great Mills","MD","20634","(301) 737-5670","","38.26877","-76.49389","California","Shelby County Sheriff Department"
"St Mary's County Public Works","","44825 Saint Andrews Church Rd","California","MD","20619","(301) 863-8400","","38.297653","-76.525604","California","St. Clair County Sheriff Department"
"Fresno County Library","","24385 E Trimmer Springs Rd","Sanger","CA","93657","(559) 787-3266","","36.81629","-119.38828","California","Talladega County Sheriff Department"
"Tracy Police Department - Investigations","","1000 Civic Center Dr","Tracy","CA","95376","(209) 831-4550","","37.739635","-121.41927","California","Troy Police Dept"
"Moody Police Dept","","2900 Daniel Dr","Moody","AL","35004","(205) 640-0339","","33.58968","-86.49258","California","Trussville Police Dept"
"Fresno County Library","","24385 E Trimmer Springs Rd","Sanger","CA","93657","(559) 787-3266","","36.81629","-119.38828","California","Tuscaloosa County Sheriff Department"
"Town Of Atherton-Police Department","","83 Ashfield Rd","Atherton","CA","94027","(650) 688-6500","","37.46343","-122.19736","California","Tuscaloosa Police Dept"
"Los Angeles County Sheriffs Office","","5019 E 3rd St","Los Angeles","CA","90022","(323) 264-4151","","34.03348","-118.15855","California","Walker County Sheriff Department"
"San Diego Harbor Police Department","","1401 Shelter Island Dr","San Diego","CA","92106","(619) 686-8000","","32.708237","-117.23345","California","Anchorage Police Dept"
"San Diego Police Dept NE Div","","13396 Salmon River Rd","San Diego","CA","92129","(858) 538-8000","","32.959713","-117.12269","California","Fairbanks Police Dept"
"Citrus Heights Police Department","","6315 Fountain Square Dr","Citrus Heights","CA","95621","(916) 727-4790","","38.68083","-121.29801","California","Juneau Police Dept"
"Social Services Dept","","21731 Ventura Blvd # 250","Woodland Hills","CA","91364","(818) 596-4334","","34.168365","-118.60154","California","Apache County Sheriff Department"
"Pinal County Government Sheriffs Ofc","","5750 S Kings Ranch Rd","Gold Canyon","AZ","85118","(520) 866-6120","","33.36239","-111.43431","California","Apache Junction Police Dept"
"Sacramento City Police Department","","5303 Franklin Blvd","Sacramento","CA","95820","(916) 277-6002","","38.52704","-121.472336","California","Avondale Police Dept"
"Redding City Police Department","","1313 California St","Redding","CA","96001","(530) 225-4200","","40.58589","-122.39292","California","Buckeye Police Dept"
"Clovis Police  Department","","1233 5th St","Clovis","CA","93612","(559) 324-2400","","36.82397","-119.69267","California","Casa Grande Police Dept"
"Chandler Police Dept","","251 N Desert Breeze Blvd W","Chandler","AZ","85226","(480) 782-4800","","33.30735","-111.91987","California","Chandler Police Dept"
"Chino Hills Police Dept","","14077 Peyton Dr","Chino Hills","CA","91709","(909) 364-2000","","33.997025","-117.73259","California","Chino Valley Police Agency"
"Los Angeles Fire Dept","","17021 Elizabeth Lake Rd","Lake Hughes","CA","93532","(661) 948-2631","","34.673782","-118.43193","California","Coconono County Sheriff Department"
"Santa Paula City Police Department","","214 S 10th St","Santa Paula","CA","93060","(805) 525-4474","","34.352047","-119.05911","California","Coolidge Police Dept"
"Anderson City Police Department","","2220 North St","Anderson","CA","96007","(530) 378-2500","","40.45318","-122.298355","California","Cottonwood Police Dept"
"Oceanside Police Dept","","3855 Mission Ave","Oceanside","CA","92058","(760) 435-4900","","33.226974","-117.32848","California","Douglas Police Dept"
"Sacramento County Sheriff","","15160 Jackson Rd","Sloughhouse","CA","95683","(916) 354-8509","","38.490677","-121.08954","California","Flagstaff Police Dept"
"La County Mira Loma Sheriff","","45100 60th St W","Lancaster","CA","93536","(661) 949-3811","","34.70191","-118.23668","California","Gila County Sheriff Department"
"Norco Police Chief","","2870 Clark Ave","Norco","CA","92860","(951) 270-5673","","33.923447","-117.56104","California","Gilbert Police Dept"
"Glendale Police Department","","131 N Isabel St","Glendale","CA","91206","(818) 548-4840","","34.147423","-118.24887","California","Glendale Police Dept"
"San Jose City Police Department","","1588 Monterey Hwy Ste B","San Jose","CA","95110","(408) 277-4349","","37.313477","-121.8709","California","Goodyear Police Dept"
"Kingman City Police Department","","2730 E Andy Devine Ave","Kingman","AZ","86401","(928) 753-1911","","35.209473","-114.0178","California","Kingman Police Dept"
"Lake Havasu City Police Department","","2360 McCulloch Blvd N","Lake Havasu City","AZ","86403","(928) 855-4111","","34.478924","-114.318344","California","Lake Havasu City Police Dept"
"Marina Fire Dept","","211 Hillcrest Ave","Marina","CA","93933","(831) 884-1226","","36.68178","-121.80265","California","Marana Police Dept"
"Maricopa County Sheriff","","1840 S Lewis","Mesa","AZ","85210","(602) 876-1853","","33.38157","-111.82838","California","Maricopa County Sheriff Department"
"Inglewood City Police Department","","1 W Manchester Blvd","Inglewood","CA","90301","(310) 412-5325","","33.96181","-118.35522","California","Mesa Police Dept"
"Hulapai Tribe Police Dept","","960 Rodeo Wy","Peach Springs","AZ","86434","(928) 769-2220","","35.225697","-113.766655","California","Mohave County Sheriff Department"
"Social Services Dept","","21731 Ventura Blvd # 250","Woodland Hills","CA","91364","(818) 596-4334","","34.168365","-118.60154","California","Navajo County Sheriff Department"
"Concord Police Dept","","1500 Monument Blvd","Concord","CA","94520","(925) 671-3483","","37.95279","-122.04409","California","Oro Valley Police Dept"
"San Diego Police Dept","","6619 Paradise Valley Rd Ste 9","San Diego","CA","92139","(619) 527-3541","","32.688393","-117.05321","California","Paradise Valley Police Dept"
"Loma Linda Police Department","","655 E 3rd St","San Bernardino","CA","92415","(909) 387-3500","","34.10426","-117.27253","California","Payson Police Dept"
"Municipal Court-Criminal Division","","227 N D St","Perris","CA","92570","(951) 940-6840","","33.786777","-117.228195","California","Peoria Police Dept"
"Sacramento City Police Department","","5303 Franklin Blvd","Sacramento","CA","95820","(916) 277-6002","","38.52704","-121.472336","California","Phoenix Police Dept"
"Pinal County Government Sheriffs Ofc","","5750 S Kings Ranch Rd","Gold Canyon","AZ","85118","(520) 866-6120","","33.36239","-111.43431","California","Pinal County Sheriff Department"
"Oakland City Police Department","","455 7th St, Oakland, CA 94607","Oakland","CA","94601","(510) 777-3333","","37.79951","-122.27491","California","Prescott Police Dept"
"San Jose City Police Department","","1588 Monterey Hwy Ste B","San Jose","CA","95110","(408) 277-4349","","37.313477","-121.8709","California","Prescott Valley Police Dept"
"Santa Cruz County Sheriffs Department","","259 Water St","Santa Cruz","CA","95060","(831) 454-2910","","36.978962","-122.02344","California","Santa Cruz County Sheriff Department"
"Sacramento City Police Department","","5303 Franklin Blvd","Sacramento","CA","95820","(916) 277-6002","","38.52704","-121.472336","California","Scottsdale Police Dept"
"Ntegrity Recruiting","","26322 Towne Centre Dr","Foothill Ranch","CA","92610","(949) 218-9056","","33.68353","-117.67149","California","Sedona"
"Somerton Fire Department","","445 E Main St","Somerton","AZ","85350","(928) 722-7376","","32.59665","-114.70638","California","Somerton Police Dept"
"Tempe Police Dept-Property Rm","","805 W 5th St","Tempe","AZ","85281","(480) 350-8348","","33.425484","-111.95041","California","Tempe Police Dept"
"Mission Viejo Television","","200 Civic Ctr","Mission Viejo","CA","92691","(949) 470-3051","","33.59542","-117.65947","California","Tucson Police Dept"
"Chino Valley Town Police Department","","1950 N Voss Dr","Chino Valley","AZ","86323","(928) 636-4223","","34.77344","-112.46637","California","Yavapai County Sheriff Department"
"Yuma Police Dept","","1500 S 1st Ave","Yuma","AZ","85364","(928) 373-4700","","32.700203","-114.620415","California","Yuma Police Dept"
"La County Sheriff Trnsprtn Bur","","441 Bauchet St","Los Angeles","CA","90012","(213) 974-4571","","34.05959","-118.23026","California","Baxter County Sheriff Department"
"Blytheville Police Department","","201 W Walnut St","Blytheville","AR","72315","(870) 762-0404","","35.928513","-89.904205","California","Blytheville Police Dept"
"City of Yucaipa Police Department","","34282 Yucaipa Blvd","Yucaipa","CA","92399","(909) 790-3111","","34.033886","-117.05626","California","Bryant Police Dept"
"Tustin City Police Department","","300 Centennial Way","Tustin","CA","92780","(714) 573-3200","","33.743313","-117.818825","California","Cabot Police Dept"
"Transportation Dept","","800 San Clemente St","Needles","CA","92363","(760) 326-4639","","34.824303","-114.60435","California","City Of Fort Smith Police Dept"
"Escondido Police Department","","1163 North Center City Parkway,","Escondido","CA","92026","(760) 839-4766","","33.135315","-117.09343","California","Conway Police Dept"
"Crawford County Fire District 1 Station 1","","1248 S 220th St","Pittsburg","KS","66762","(620) 231-4500","","37.34689","-94.70529","California","Crawford County Sheriff Department"
"El Dorado County Sheriff","","300 Fair Ln","Placerville","CA","95667","(530) 621-5655","","38.727577","-120.82761","California","El Dorado Police Dept"
"Guy Police Department","","405 Highway 25 N","Guy","AR","72061","(501) 679-4585","","35.321213","-92.33815","California","Faulkner County Sheriff Department"
"Hope Mills Police Dept","","5776 Rockfish Rd","Hope Mills","NC","28348","(910) 425-4103","","34.977264","-78.98578","California","Fayetteville Police Dept"
"Citrus Heights Police Department","","6315 Fountain Square Dr","Citrus Heights","CA","95621","(916) 727-4790","","38.68083","-121.29801","California","Forrest City Police Dept"
"La County Sheriff Trnsprtn Bur","","441 Bauchet St","Los Angeles","CA","90012","(213) 974-4571","","34.05959","-118.23026","California","Garland County Sheriff Department"
"Oakland City Police Department","","455 7th St","Oakland","CA","94607","(510) 238-2189","","37.799534","-122.27429","California","Harrison Police Dept"
"Police Department Community Relation","","4690 Market St # D20","San Diego","CA","92102","(619) 527-3487","","32.71143","-117.09379","California","Hope Police Dept"
"Desert Hot Springs Public Work","","65950 Pierson Blvd","Desert Hot Springs","CA","92240","(760) 329-6411","","33.9614","-116.51103","California","Hot Springs Police Dept"
"Los Angeles County Sheriff","","9425 Penfield Ave","Chatsworth","CA","91311","(818) 576-8800","","34.241196","-118.56963","California","Independence County Sheriff Department"
"Porac","","4010 Truxel Rd","Sacramento","CA","95834","(916) 928-7099","","38.641808","-121.5086","California","Jonesboro Police Dept"
"White County Health Department","","306 N Gum St","Beebe","AR","72012","(501) 882-5128","","35.07057","-91.88637","California","Lonoke County Sheriff Department"
"Sacramento City Police Department","","5303 Franklin Blvd","Sacramento","CA","95820","(916) 277-6002","","38.52704","-121.472336","California","Magnolia Police Dept"
"Buena Park City Police Department","","6640 Beach Blvd","Buena Park","CA","90621","(714) 562-3930","","33.864132","-117.99805","California","Malvern Police Dept"
"Sacramento Police Department William J. Kinney Police Facility","","3550 Marysville Blvd","Sacramento","CA","95838","(916) 566-6401","","38.632072","-121.430786","California","Marion Police Dept"
"Tracy Police Department","","3200 Naglee Rd","Tracy","CA","95304","(209) 831-4533","","37.759415","-121.462326","California","Mountain Home Police Dept"
"San Jose City Police Department","","1649 Hermocilla Way","San Jose","CA","95116","(408) 277-5263","","37.34636","-121.85159","California","North Little Rock Police Dept"
"Vacaville Police Dept","","660 Merchant St","Vacaville","CA","95688","(707) 449-5200","","38.35027","-121.99446","California","Pine Bluff Police Dept"
"Los Angeles County Sheriffs Office","","11703 Alameda St","Lynwood","CA","90262","(323) 568-4000","","33.927982","-118.22538","California","Pope County Sheriff Department"
"Dixon Fire Department","","PO Box 92","Dixon","MO","65459","(573) 759-7312","","37.991707","-92.09378","California","Pulaski County Sheriff Department"
"San Jose Police Department, Family Violence Unit","","1671 The Alameda, Suite 100","San Jose","CA","95126","(408) 277-3700","","37.336926","-121.91848","California","Rogers Police Dept"
"Northeast Saline County Fire Department Central Station","","10102 Kling Rd","Mabelvale","AR","72103","(501) 847-1500","","34.611652","-92.39083","California","Saline County Sheriff Department"
"San Jose City Police Department","","1588 Monterey Hwy Ste B","San Jose","CA","95110","(408) 277-4349","","37.313477","-121.8709","California","Searcy Police Dept"
"Los Angeles County Sheriff","","505 S Centre St","San Pedro","CA","90731","(310) 519-6021","","33.73963","-118.2835","California","Sebastian County Sheriff Department"
"S F City & County Police Department","","350 Amber Dr","San Francisco","CA","94131","(415) 401-4666","","37.74468","-122.441635","California","Sherwood Police Dept"
"Aliso Viejo City Police Department","","11 Journey","Aliso Viejo","CA","92656","(949) 425-1801","","33.56915","-117.72901","California","Springdale Police Dept"
"Texarkana Police Dept","","100 N State Line Ave","Texarkana","TX","75501","(903) 798-3130","","33.413174","-94.04312","California","Texarkana Police Dept"
"Riverside Police Dept-NPC Investigations","","8181 Lincoln Ave","Riverside","CA","92504","(951) 353-7941","","33.921837","-117.41192","California","Van Buren Police Dept"
"Washington County Housing Auth","","399 1st St","California","PA","15419","(724) 938-8367","","40.06848","-79.88955","California","Washington County Sheriff Department"
"Memphis Police Dept","","545 S Main St # 216","Memphis","TN","38103","(901) 636-4099","","35.13255","-90.05898","California","West Memphis Police Dept"
"White County Health Department","","306 N Gum St","Beebe","AR","72012","(501) 882-5128","","35.07057","-91.88637","California","White County Sheriff Department"
"Adelanto Fire Dept","","11741 Hardy Ave","Adelanto","CA","92301","(760) 246-8007","","34.58013","-117.40875","California","Adelanto Police Dept"
"Leisure Living Agoura Hills","","29322 Deep Shadow Dr","Agoura Hills","CA","91301","(818) 879-9924","","34.149986","-118.763466","California","Agoura Hills"
"Alameda County Rcd","","3585 Greenville Rd Ste 2","Livermore","CA","94550","(925) 371-0154","","37.671955","-121.69671","California","Alameda County Sheriff Department"
"Alameda Police Dept","","1555 Oak St","Alameda","CA","94501","(510) 337-8340","","37.76688","-122.24271","California","Alameda Police Dept"
"Albany City Police Department","","1247 Marin Ave","Albany","CA","94706","(510) 525-7300","","37.88763","-122.29322","California","Albany Police Dept"
"Alhambra Police Department","","211 S 1st St","Alhambra","CA","91801","(626) 570-5151","","34.09215","-118.12616","California","Alhambra Police Dept"
"Archstone Aliso Viejo Leasing Office","","5000 Capobella","Aliso Viejo","CA","92656","(949) 716-7368","","33.595","-117.73401","California","Aliso Viejo"
"Anouman's Carpet Cleaning & Upholstery | American Canyon","","103 Ventana Dr","American Canyon","CA","94503","(510) 658-8029","","38.15835","-122.24982","California","American Canyon"
"Anaheim Police Dept","","425 S Harbor Blvd","Anaheim","CA","92805","(714) 765-1900","","33.831417","-117.91872","California","Anaheim Police Dept"
"Anderson City Police Department","","2220 North St","Anderson","CA","96007","(530) 378-2500","","40.45318","-122.298355","California","Anderson Police Dept"
"City of Antioch Police Department","","300 L St","Antioch","CA","94509","(925) 779-6900","","38.01618","-121.81974","California","Antioch Police Dept"
"Apple Valley News","","21940 US Highway 18 # B","Apple Valley","CA","92307","(760) 242-1930","","34.500786","-117.185036","California","Apple Valley"
"Police Dept-Detective Bureau","","250 W Huntington Dr","Arcadia","CA","91007","(626) 574-5160","","34.136143","-118.03888","California","Arcadia Police Dept"
"Arcata Police Dept","","736 F St","Arcata","CA","95521","(707) 822-2428","","40.86732","-124.085205","California","Arcata Police Dept"
"Arroyo Grande Police Department","","200 N Halcyon Rd","Arroyo Grande","CA","93420","(805) 473-5120","","35.119373","-120.59155","California","Arroyo Grande Police Dept"
"Fast Out Bail Bonds Artesia","","11702 183rd St","Artesia","CA","90701","(562) 489-7913","","33.86571","-118.08435","California","Artesia"
"Arvin City Police Dept","","200 Campus Dr","Arvin","CA","93203","(661) 854-5583","","35.209904","-118.83323","California","Arvin Police Dept"
"Atascadero Police Dept","","5505 El Camino Real","Atascadero","CA","93422","(805) 461-5051","","35.490818","-120.67337","California","Atascadero Police Dept"
"Atwater Fire Dept","","699 Broadway Ave","Atwater","CA","95301","(209) 357-6352","","37.344948","-120.6037","California","Atwater Police Dept"
"Avenal Lumber & Hardware","","600 Skyline Blvd","Avenal","CA","93204","(559) 386-5323","","36.00397","-120.12969","California","Avenal"
"Azusa Police Dept","","725 N Alameda Ave","Azusa","CA","91702","(626) 812-3200","","34.134064","-117.90625","California","Azusa Police Dept"
"Bakersfield Police Dept","","106 E White Ln","Bakersfield","CA","93307","(661) 397-0647","","35.31768","-118.998215","California","Bakersfield Police Dept"
"Baldwin Park Public Works Dept","","14403 Pacific Ave","Baldwin Park","CA","91706","(626) 813-5255","","34.084858","-117.95997","California","Baldwin Park Police Dept"
"Banning City Police Department","","125 E Ramsey St","Banning","CA","92220","(951) 922-3170","","33.925503","-116.87542","California","Banning Police Dept"
"Barstow Police Dept","","220 E Mountain View St # B","Barstow","CA","92311","(760) 256-2211","","34.892742","-117.0279","California","Barstow Police Dept"
"City of Beaumont Police Department","","660 Orange Ave","Beaumont","CA","92223","(951) 769-8500","","33.930653","-116.97437","California","Beaumont Police Dept"
"Bell Gardens Finance Dept","","7100 Garfield Ave","Bell Gardens","CA","90201","(562) 806-7712","","33.96781","-118.15021","California","Bell Gardens Police Dept"
"Bell Fire Department","","6320 Pine Ave","Bell Gardens","CA","90201","(323) 560-1571","","33.97901","-118.18897","California","Bell Police Dept"
"Bellflower Radiator Repair","","16658 Woodruff Ave","Bellflower","CA","90706","(562) 867-2412","","33.882633","-118.117325","California","Bellflower"
"Belmont Police Dept","","1215 Ralston Ave","Belmont","CA","94002","(650) 595-7400","","37.516888","-122.27921","California","Belmont Police Dept"
"Benicia Police Dept","","200 E L St","Benicia","CA","94510","(707) 745-3411","","38.05292","-122.15365","California","Benicia Police Dept"
"Berkeley Police Dept","","2100 Martin Luther King Jr Way","Berkeley","CA","94704","(510) 981-5900","","37.87057","-122.27291","California","Berkeley Police Dept"
"Beverly Hills Police Department","","464 N Rexford Dr","Beverly Hills","CA","90210","(310) 550-4951","","34.073177","-118.400055","California","Beverly Hills Police Dept"
"Blythe Water Dept","","235 N Broadway","Blythe","CA","92225","(760) 922-6161","","33.61313","-114.5969","California","Blythe Police Dept"
"Brawley City","","351 Main St","Brawley","CA","92227","(760) 344-2111","","32.978695","-115.53562","California","Brawley Police Dept"
"Brea Police Dept","","1 Civic Center Cir","Brea","CA","92821","(714) 990-7625","","33.9178","-117.88823","California","Brea Police Dept"
"Brentwood City Police Department","","9100 Brentwood Blvd","Brentwood","CA","94513","(925) 634-6911","","37.91938","-121.68504","California","Brentwood Police Dept"
"Buena Park City Police Department","","6640 Beach Blvd","Buena Park","CA","90621","(714) 562-3930","","33.864132","-117.99805","California","Buena Park Police Dept"
"Burbank Police Department","","200 N 3rd St","Burbank","CA","91502","(818) 238-3000","","34.182823","-118.30852","California","Burbank Police Dept"
"Burlingame Police Department","","1111 Trousdale Dr","Burlingame","CA","94010","(650) 777-4100","","37.595417","-122.38222","California","Burlingame Police Dept"
"Calabasas","","3838 Paseo Primario # F032","Calabasas","CA","91302","(818) 235-5797","","34.13813","-118.664345","California","Calabasas"
"Calaveras County Sheriff","","891 Mountain Ranch Rd","San Andreas","CA","95249","(209) 754-6403","","38.190987","-120.6688","California","Calaveras County Sheriff Department"
"Calexico Police Dept","","420 E 5th St","Calexico","CA","92231","(760) 768-2140","","32.669827","-115.49324","California","Calexico Police Dept"
"Camarillo","","84 La Patera Dr","Camarillo","CA","93010","(805) 210-3929","","34.240692","-119.07662","California","Camarillo"
"San Jose Police Department, Family Violence Unit","","1671 The Alameda, Suite 100","San Jose","CA","95126","(408) 277-3700","","37.336926","-121.91848","California","Campbell Police Dept"
"Canyon Lake Pest Control","","21710 Appaloosa Ct","Canyon Lake","CA","92587","(951) 244-3416","","33.68384","-117.28058","California","Canyon Lake"
"Capitola Clinic - U.S. Department of Veterans Affairs","","1350 41st Ave Suite 102","Capitola","CA","95010","(831) 464-5519","","36.97046","-121.96486","California","Capitola Police Dept"
